year,org,ein,class,group_id_guess,name,new_group_id,remove,final_id
2020,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_0,EDWARD P STRINGHAM,,,04-2121305_0
2019,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_0,EDWARD P STRINGHAM,,,04-2121305_0
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_0,EDWARD P STRINGHAM,,,04-2121305_0
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_0,EDWARD P STRINGHAM,,,04-2121305_0
2020,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_1,MICHELE M KEARNS,,,04-2121305_1
2019,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_1,MICHELE M KEARNS,,,04-2121305_1
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_1,MICHELE M KEARNS,,,04-2121305_1
2020,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_10,DOUGLAS L HARWOOD,,,04-2121305_10
2019,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_10,DOUGLAS L HARWOOD,,,04-2121305_10
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_10,DOUGLAS L HARWOOD,,,04-2121305_10
2020,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_11,DR BRADLEY K HOBBS,,,04-2121305_11
2020,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_12,KEITH A HOCTER,,,04-2121305_12
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_12,KEITH A HOCTER,,,04-2121305_12
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_12,KEITH A HOCTER,,,04-2121305_12
