GRANTMAKER,RECIPIENT,value,interlock
ADOLPH COORS FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,26666.66667,False
AMBROSE MONELL FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
ANNENBERG FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
ANSCHUTZ FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
ARMSTRONG FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,12091.356919,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,1432005.75178,False
BETH AND RAVENEL CURRY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
BILL AND MELINDA GATES FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
BODMAN FOUNDATIONS,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,133626.70229,False
BRADLEY IMPACT FUND,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,47475.283333,False
"BRADY EDUCATION FOUNDATION, INC.",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,1415929.204,False
CHARLES KOCH INSTITUTE AND FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,1467251.66477,False
CHASE FOUNDATION OF VIRGINIA,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,471547.604,True
CLAWS FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
"COVENANT FOUNDATION, INC.",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
DANIELS FUND,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
DAVIS FAMILY FOUNDATIONS,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
DEVOS FAMILY FOUNDATIONS,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,5909583.190309,False
DONORS TRUST & DONORS CAPITAL FUND,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,10916990.2267819,False
DUNN FOUNDATION THE,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
E. L. CRAIG FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,1551009.295285,True
ED UIHLEIN FAMILY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
EWING MARION KAUFFMAN FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,762463.3431,False
EXXONMOBIL FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,333936.8991,False
"F. M. KIRBY FOUNDATION, INC.",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
FRED MAYTAG FAMILY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
"GALASHIELS FUND, LTD",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
GLEASON FAMILY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
GREATER HOUSTON COMMUNITY FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,29426.750588,False
GROVER HERMANN FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,0.0,False
HERRICK FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,3798731.86317,False
