org,nonprofit_type,ein,sole_climate_energy,state,controlling_entity,ruling_year,address,ntee_code,naics_code,sic_code,guidestar_keywords,notes,substantive_focus,peripheral_focus,delay,denial,id,alliance_for_energy_&_economic_growth,alliance_to_save_energy,cooler_heads_coalition,spn
ACCURACY IN ACADEMIA,501(c)(3),521400302,False,MD,,1985.0,"P.O. Box 5647  / Derwood, MD 20855 USA/                             Mr. Don  Irvine                           /                                 Primary Contact Phone: (240) 686-5964                              / don.irvine@academia.org/ Chairman/ http://www.academia.org/ 4200 WisconsinAve. NW #100-198  / Washington, DC 20016 / 18627 Reliant Dr  / Gaithersburg, MD 20879 ","Printing, Publishing (A33)/ Research Institutes and/or Public Policy Analysis (B05)",511199 All Other Publishers,2741 Miscellaneous Publishing,education,,1,0,1,1,577,0,0,0,0
ACCURACY IN MEDIA,501(c)(3),237135837,False,DC,,1971.0,"1717 K Street Northwest Suite 900 / Washington, DC 20006 USA/                              Taylor  Anderson                           /                                 Primary Contact Phone: (509) 989-7239                              / info@aim.org/ Donor Relations Officer/ http://www.aim.org/                                 Main Office Phone: (202) 364-4401                              / 1717 K Street Northwest Suite 900 / Washington, DC 20006 ","Media, Communications Organizations (A30)/ Printing, Publishing (A33)/ Radio (A34)",51 Information,,"media watchdog,  citizen activism",,1,0,1,1,192,0,0,0,0
ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,501(c)(3),382926822,False,MI,,1990.0,"98 E. Fulton Street  / Grand Rapids, MI 49503 USA/                             Mr. Kris Alan Mauren                           /                                 Primary Contact Phone: (616) 454-3080                              / kmauren@acton.org/ Executive Director/ www.acton.org/                                 Main Office Phone: (616) 454-3080                              / 98 E. Fulton Street  / Grand Rapids, MI 49503 / 98 E. Fulton Street  / Grand Rapids, MI 49503 / Corso Vittorio Emanuele II No. 294/ Roma -- 00186/ International Tel: +(39) 06-688-92500",Research Institutes and/or Public Policy Analysis (X05)/ Research Institutes and/or Public Policy Analysis (B05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"liberty,  free market,  morality,  religion,  freedom,  capitalism",,1,0,1,1,1864,0,0,0,2
ADVOCATES FOR SELF GOVERNMENT,501(c)(3),770099744,False,CA,,1986.0,"500 Capitol Mall Suite 2050 / Sacramento, CA 95814 USA/                             Mr Michael  Sertic                           /                                 Primary Contact Phone: (916) 273-4443                              / mike@theadvocates.org/ President/ https://www.theadvocates.org/                                 Main Office Phone: (916) 273-4443                              / 500 Capitol Mall Suite 2050 / Sacramento, CA 95814 / 500 Capitol Mall Suite 2050 / Sacramento, CA 95814 / 500 Capitol Mall Suite 2050/ Sacramento CA 95814/ International Tel:  ",Alliance/Advocacy Organizations (R01),813319 Other Social Advocacy Organizations,"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS","Liberty,  self-government,  freedom,  education",,1,0,1,1,2057,0,0,0,0
ALASKA POLICY FORUM,501(c)(3),264380206,False,AK,,2009.0,"7926 Old Seward Hwy Ste A6  / Anchorage, AK 99518 / www.alaskapolicyforum.org","Adult, Continuing Education (B60)",611699 All Other Miscellaneous Schools and Instruction,"7999 AMUSEMENT AND RECREATION, NEC/ 8299 SCHOOLS AND EDUCATIONAL SERVICES",,,0,1,1,0,3301,0,0,0,1
ALLEGHENY INSTITUTE FOR PUBLIC POLICY,501(c)(3),251704173,False,PA,,1994.0,"305 Mt Lebanon Blvd Ste 208  Pittsburgh PA 15234-1511/ Pittsburgh, PA 15234 / WWW.ALLEGHENYINSTITUTE.ORG",Government and Public Administration (W20),813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",,,1,0,1,1,2523,0,0,0,1
AMERICA'S FUTURE FOUNDATION,501(c)(3),521928321,False,VA,,1995.0,"Americas Future Foundation 3434 Washington Blvd. 1st Floor. / Arlington, VA 22201 USA/                              Cindy  Cerquitella                           /                                 Primary Contact Phone: (703) 801-6733                              / cindy@americasfuture.org/ Executive Director/ americasfuture.org/                                 Main Office Phone: (202) 331-2261                              / Americas Future Foundation 3434 Washington Blvd. 1st Floor. / Arlington, VA 22201 / Americas Future Foundation 3434 Washington Blvd. 1st Floor. / Arlington, VA 22201 ",Community Coalitions (S21),813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC","Liberty,  Leadership Development,  Networking,  Civic Engagement",,1,0,1,1,799,0,0,1,2
AMERICA'S POWER,501(c)(6),521799853,True,VA,,1994.0,"2121 N Westmoreland St # St503  Arlington VA 22213-1055/ Arlington, VA 22213 / WWW.AMERICASPOWER.ORG",Public Utilities (W80),221 Utilities,,,,1,0,1,0,75,0,0,0,0
AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS,501(c)(3),730125920,False,OK,,1943.0,"P.O. Box 979  / Tulsa, OK 74101 USA/                              Bryan  Haws                           /                                 Primary Contact Phone: (918) 560-2607 Ext 918560                              / bhaws@aapg.org/ www.aapg.org/                                 Main Office Phone: (918) 5842555 Ext 918560                              / 1444 South Boulder Avenue  / Tulsa, OK 74119 / P.O. Box 979  / Tulsa, OK 74101-0979 / P.O. Box 979 / Tulsa  74101-0979/ International Tel: 91856 9185602607","Professional Societies, Associations (Y03)",813920 Professional Organizations,8621 Professional Organizations,Petroleum Geology Professional Association,,0,1,1,1,3381,0,0,0,0
AMERICAN COAL COUNCIL,501(c)(6),840912828,True,DC,,1985.0,"1101 Pennsylvania Ave NW Ste 600  / Washington, DC 20004 / WWW.AMERICANCOALCOUNCIL.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,1,2925,0,0,0,0
AMERICAN COMMITMENT,501(c)(3),452600535,False,,,,,,,,,,1,0,1,0,394,0,0,0,0
AMERICAN CONSERVATION COALITION,501(c)(4),823815628,True,WI,,2018.0,"PO Box 391  / Appleton, WI 54912 / WWW.ACC.ECO",Alliance/Advocacy Organizations (C01),813319 Other Social Advocacy Organizations,"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",,,1,0,1,0,362,0,0,0,0
AMERICAN CONSTITUTIONAL RIGHTS UNION,501(c)(3),522121856,False,VA,,1999.0,"175 Cameron Station Blvd  Alexandria VA 22304-7783/ Alexandria, VA 22304 / www.theacru.org",Civil Liberties Advocacy (R60),813311 Human Rights Organizations,"8399 SOCIAL SERVICES, NEC",,,0,1,1,1,3768,0,0,0,0
AMERICAN CONSUMER INSTITUTE THE,501(c)(3),208601897,False,VA,,2007.0,"13337 Glen Taylor Ln  / Herndon, VA 20171 / WWW.THEAMERICANCONSUMER.ORG",Education N.E.C. (B99),611 Educational Services,,,,1,0,1,0,3516,0,0,0,2
AMERICAN COUNCIL FOR CAPITAL FORMATION,501(c)(6),520991278,False,DC,,1975.0,"1001 Connecticut Avenw Suite 620  Washington Dc 20036-5590  / Washington, DC 20036 / WWW.ACCF.ORG",Economic Development (S30),813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",,,1,0,1,0,912,0,0,0,0
AMERICAN COUNCIL ON SCIENCE AND HEALTH,501(c)(3),132911127,False,NY,,1977.0,"135 Madison Avenue, 5th Floor, 06-114  / New York, NY 10016-6745 USA/                             Mr. Thom  Golab                           /                                 Primary Contact Phone: (301) 980-4579                              / tgolab@acsh.org/ President/ www.acsh.org/                                 Main Office Phone: (212) 362-7044                              / 135 Madison Avenue, 5th Floor, 06-114  / New York, NY 10016-6745 / 135 Madison Avenue, 5th Floor, 06-114  / New York, NY 10016-6745 / 135 Madison Avenue, 5th Floor, 06-114 / New York NY 10016-6745/ International Tel: +212 362",Research Institutes and/or Public Policy Analysis (E05)/ Research Institutes and/or Public Policy Analysis (C05)/ Research Institutes and/or Public Policy Analysis (U05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,science health,,1,0,1,1,1823,0,0,0,0
AMERICAN ENERGY ALLIANCE,501(c)(4),262731617,True,DC,,2008.0,"1155 15th St NW Ste 900  / Washington, DC 20005 / WWW.AMERICANENERGYALLIANCE.ORG",Alliance/Advocacy Organizations (R01),813319 Other Social Advocacy Organizations,"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",,,1,0,1,0,3785,0,0,0,0
AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,501(c)(3),530218495,False,DC,,1944.0,"1789 Massachusetts Avenue NW  / Washington, DC 20036 USA/                             Ms. Nicole  Ruman Skinner                           /                                 Primary Contact Phone: (202) 8625800                              / nskinner@aei.org/ Managing Director, Development/ www.aei.org/                                 Main Office Phone: (202) 862-5800                              / 1789 Massachusetts Avenue NW  / Washington, DC 20036 / 1789 Massachusetts Avenue NW  / Washington, DC 20036 ",Research Institutes and/or Public Policy Analysis (W05)/ Research Institutes and/or Public Policy Analysis (Q05)/ Research Institutes and/or Public Policy Analysis (S05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"AEI,  Think Tank,  Public Policy,  Research,  Institute",,1,0,1,1,3057,0,0,0,2
AMERICAN EXPLORATION & PRODUCTION COUNCIL,501(c)(6),521042125,True,DC,,1976.0,"999 E St NW Ste 200  / Washington, DC 20004 / WWW.AXPC.ORG",Single Organization Support (S11),813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC",,,1,0,1,0,1639,0,0,0,0
AMERICAN FARM BUREAU FEDERATION,501(c)(5),360725160,False,DC,,1950.0,"600 Maryland Ave. SW Suite 1000W / Washington, DC 20024 /                              Jordan   Craig                           / jcraig@fb.org/ www.fb.org/                                 Main Office Phone: (202) 406-3600                              ",Farm Bureau (K28)/ Farm Bureau (K28),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,6,1,0,0,0
AMERICAN FEED INDUSTRY ASSOCIATION,501(c)(6),360725250,False,VA,,1942.0,"2101 Wilson Blvd Ste 810  / Arlington, VA 22201 / WWW.AFIA.ORG","Employment, Job Related N.E.C. (J99)",624310 Vocational Rehabilitation Services,8331 JOB TRAINING AND RELATED SERVICES,,,0,1,1,0,3548,0,0,0,0
AMERICAN FUEL AND PETROCHEMICAL MANUFACTURERS,501(c)(6),530115970,True,DC,,1963.0,"1800 M St NW Ste 900n  Washington DC 20036-5883/ Washington, DC 20036 / WWW.AFPM.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,2007,0,0,0,0
AMERICAN GAS ASSOCIATION,501(c)(6),130431590,True,DC,,1938.0,"400 N Capitol St NW  Washington DC 20001-1511/ Washington, DC 20001 / WWW.AGA.ORG","Professional Societies, Associations (W03)",813920 Professional Organizations,8621 PROFESSIONAL ORGANIZATIONS,,,1,0,1,0,354,1,0,0,0
AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,501(c)(3),42121305,False,MA,,1999.0,"250 Division St  / Great Barrington, MA 01230 USA/                              Michele J. Kearns                           /                                 Primary Contact Phone: (413) 645-3146 Ext 3146                              / michele.kearns@aier.org/ Vice President, Finance/ www.aier.org/                                 Main Office Phone: (888) 528-1216                              / 250 Division St  / Great Barrington, MA 01230 / 250 Division St  / Great Barrington, MA 01230 ",Research Institutes and/or Public Policy Analysis (B05)/ Economics (as a Social Science) (V22)/ Economics (as a Social Science) (V22),541720 Research and Development in the Social Sciences and Humanities,8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,"economics,  research,  fellowship,  American,  financial,  free markets",,1,0,1,0,1289,0,0,0,0
AMERICAN LEGISLATIVE EXCHANGE COUNCIL,501(c)(3),520140979,False,VA,,1977.0,"2900 Crystal Drive Suite 600 / Arlington, VA 22202 USA/                              Lisa  Bowen                           /                                 Primary Contact Phone: (571) 482-5060                              / lbowen@alec.org/ Senior Director of Finance and Administration/ www.alec.org/                                 Main Office Phone: (703) 373-0933                              / 2900 Crystal Drive Suite 600 / Arlington, VA 22202 / 2900 Crystal Drive Suite 600 / Arlington, VA 22202 ","Mutual/Membership Benefit Organizations, Other N.E.C. (Y99)/ Research Institutes and/or Public Policy Analysis (B05)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","ALEC,  American Legislative,  Jeffersonian,",,1,0,1,1,3872,0,0,1,2
AMERICAN PETROLEUM INSTITUTE,501(c)(6),130433430,True,DC,,1938.0,"200 Massachusetts Ave NW  Washington DC 20001-1429/ Washington, DC 20001 / WWW.API.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,1939,1,0,0,0
AMERICAN POLICY CENTER,501(c)(4),521645354,False,AN,,1984.0,"53 Main St Unit 3640  Warrenton VA 20188-8478/ Warrenton, VA 20188 / WWW.AMERICAN POLICY.ORG",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,1,1865,0,0,1,0
AMERICAN SHEEP INDUSTRY ASSOCIATION,501(c)(3),840449271,False,CO,,1957.0,"9785 Maroon Cir Ste 360  Englewood CO 80112-2692/ Englewood, CO 80112 / WWW.SHEEPUSA.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,0,1,1,0,1780,0,0,0,0
AMERICAN SOCIETY FOR THE DEFENSE OF TRADITION FAMILY AND PROPERTY,501(c)(3),237325778,False,PA,,1973.0,"1358 Jefferson Road  / Spring Grove, PA 17362 /                             Mr. Robert E.  Ritchie                           /                                 Primary Contact Phone: (888) 3175571                              / tfp@tfp.org/ Director/ www.tfp.org",Roman Catholic (X22),813110 Religious Organizations,8661 RELIGIOUS ORGANIZATIONS,"Fatima, TFP, America Needs Fatima, Tradition, Family, Property,",,0,1,1,1,2724,0,0,0,0
AMERICAN SPECTATOR FOUNDATION,501(c)(3),237002632,False,VA,,1969.0,"122 S. Royal Street  / Alexandria, VA 22314 USA/                             Mr. Alex Jane Kiselica                           /                                 Primary Contact Phone: (703) 807-2011                              / kiselicaa@spectator.org/ Development Manager/ www.spectator.org/                                 Main Office Phone: (703) 807-2011                              / 122 S. Royal Street  / Alexandria, VA 22314 / 122 S. Royal Street  / Alexandria, VA 22314 ",Citizen Participation (W24)/ Other Youth Development N.E.C. (O99),813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","individual liberty, limited government, free enterprise system, open trade",,1,0,1,1,870,0,0,0,0
AMERICANS FOR PROSPERITY,501(c)(4),753148958,False,VA,AMERICANS FOR PROSPERITY,2004.0,"1310 N Courthouse Rd  Arlington VA 22201-2508/ Arlington, VA 22201 / www.americansforprosperity.org","Urban, Community  (S31)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,1,3890,0,0,0,2
AMERICANS FOR PROSPERITY FOUNDATION,501(c)(3),521527294,False,VA,AMERICANS FOR PROSPERITY,1988.0,"2111 Wilson Blvd. Suite 350 / Arlington, VA 22201 /                             Mr. Tim  Phillips                           /                                 Primary Contact Phone: (703) 224-3200                              / info@afphq.org/ President/ www.americansforprosperity.org/                                 Main Office Phone: (703) 224-3240                              / 2111 Wilson Blvd. Suite 350 / Arlington, VA 22201 ",Economics (as a Social Science) (V22)/ Research Institutes and/or Public Policy Analysis (Y05)/ Research Institutes and/or Public Policy Analysis (B05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Grassroots,  healthcare,  epa,  cap and trade,  tax,  free market,  economics,  conservative,  prosperity,  restrain government growth,  free market solutions,  entrepreneurial principles,  pro-growth,  low tax,  unnecessary regulation",,1,0,1,1,3008,0,0,0,2
AMERICANS FOR TAX REFORM,501(c)(4),521403587,False,DC,AMERICANS FOR TAX REFORM,1993.0,"722 12th St. NW 4th Floor / Washington, DC 20005 USA/                              Megan  Worley                           / mworley@atr.org/ Vice President, Finance/ www.atr.org/                                 Main Office Phone: (202) 785-0266                              / 722 12th St. NW 4th Floor / Washington, DC 20005 ",Alliance/Advocacy Organizations (W01),813319 Other Social Advocacy Organizations,"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",Tax reform,,1,0,1,1,2744,0,0,1,2
AMERICANS FOR TAX REFORM FOUNDATION,501(c)(3),521400492,False,DC,AMERICANS FOR TAX REFORM,1985.0,"722 12TH St NW 4th Floor / Washington, DC 20005 USA/                              Megan  Worley                           / mworley@atr.org/ ww.americansfortaxreformfoundation.org/ 722 12TH St NW 4th Floor / Washington, DC 20005 ",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,Economic research,,1,0,1,1,2053,0,0,0,2
