org,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ACCURACY IN ACADEMIA,0.0,0.0,0.022900763358778626,0.02252252252252252,0.041666666666666664,0.03571428571428571,0.05660377358490566,0.06097560975609756,0.033783783783783786,0.05128205128205128,0.0,0.03076923076923077,0.05084745762711865,0.009433962264150943,0.025974025974025976,0.009009009009009009,0.0,0.0
ACCURACY IN MEDIA,0.01694915254237288,0.013157894736842105,0.036585365853658534,0.03529411764705882,0.1450381679389313,0.04887218045112782,0.08064516129032258,0.0430622009569378,0.01809954751131222,0.015,0.03111111111111111,0.01990049751243781,0.04060913705583756,0.01951219512195122,0.04966887417218543,0.025236593059936908,0.03357531760435572,0.014018691588785047
ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,,,0.015384615384615385,0.041379310344827586,0.09523809523809523,0.024390243902439025,0.010638297872340425,0.009900990099009901,0.03355704697986577,0.0,0.0,0.004761904761904762,0.03314917127071823,0.03333333333333333,0.0,0.0,0.0,0.022727272727272728
ADVOCATES FOR SELF GOVERNMENT,,,,,,,,,0.0,,0.0,0.0,0.005050505050505051,0.012658227848101266,0.007518796992481203,0.009615384615384616,0.0069605568445475635,0.0
ALASKA POLICY FORUM,,,,,,,0.0,0.09090909090909091,0.05,0.06666666666666667,0.0,0.0,0.0,0.09302325581395349,0.06666666666666667,0.11363636363636363,0.0392156862745098,0.09278350515463918
ALLEGHENY INSTITUTE FOR PUBLIC POLICY,,,,,,,0.009900990099009901,0.007936507936507936,0.022988505747126436,0.01020408163265306,0.02564102564102564,0.006666666666666667,0.0425531914893617,0.0,0.09090909090909091,0.09195402298850575,0.045454545454545456,0.13043478260869565
AMERICA'S FUTURE FOUNDATION,,0.0,,,0.0,0.02127659574468085,0.014760147601476014,0.0,0.0,0.023622047244094488,0.01910828025477707,0.006329113924050633,0.0,0.0,0.0,0.0,0.004761904761904762,0.0051813471502590676
AMERICA'S POWER,,,,,,,,,,,,,0.0,0.6153846153846154,0.875,0.8461538461538461,0.9523809523809523,0.9830508474576272
AMERICAN COMMITMENT,,,,,,,,,,0.18181818181818182,0.06,0.10909090909090909,0.17073170731707318,0.1388888888888889,0.1553398058252427,0.13043478260869565,0.15789473684210525,0.0
AMERICAN CONSERVATION COALITION,,,,,,,,,,,,,,,0.45714285714285713,0.38461538461538464,0.5421686746987951,0.4594594594594595
AMERICAN CONSTITUTIONAL RIGHTS UNION,,,,0.0,0.0,0.017857142857142856,0.010869565217391304,0.02,0.0392156862745098,0.04864864864864865,0.0457516339869281,0.047244094488188976,0.01,0.009345794392523364,0.028037383177570093,0.045454545454545456,0.08695652173913043,0.0038314176245210726
AMERICAN CONSUMER INSTITUTE THE,,,0.0,0.0,0.06666666666666667,0.021739130434782608,0.015625,0.0,0.028409090909090908,0.0,0.05555555555555555,0.05142857142857143,0.027210884353741496,0.0,0.021739130434782608,0.005050505050505051,0.018072289156626505,0.010638297872340425
AMERICAN COUNCIL ON SCIENCE AND HEALTH,0.008928571428571428,0.006622516556291391,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.009448818897637795,0.006787330316742082,0.014234875444839857,0.029668411867364748,0.016483516483516484,0.028153153153153154,0.03916768665850673,0.03787878787878788,0.04946236559139785,0.04556962025316456
AMERICAN ENERGY ALLIANCE,,,,,,0.875,1.0,1.0,0.875,0.8703703703703703,0.9484978540772532,0.907563025210084,0.8579545454545454,0.5921052631578947,0.7,0.6571428571428571,0.7407407407407407,0.8125
AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,0.021086780210867802,0.02057356608478803,0.02962962962962963,0.029513034923757994,0.04930662557781202,0.06505026611472502,0.05369900898824614,0.049365942028985504,0.06453392167677882,0.07499593297543518,0.06341880341880342,0.05126749905410519,0.03116826503923278,0.020935697500534076,0.028339083292262198,0.024857586742620404,0.038461538461538464,0.021688284073995322
AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,,,,,,,,0.0,,0.0,,0.0,0.008130081300813009,0.0,0.004901960784313725,0.008368200836820083,0.03481012658227848,0.01794453507340946
AMERICAN LEGISLATIVE EXCHANGE COUNCIL,,,,,,,,0.0,0.0,0.07526881720430108,0.10743801652892562,0.07746478873239436,0.11320754716981132,0.07162534435261708,0.03501945525291829,0.03414634146341464,0.011494252873563218,0.034722222222222224
AMERICAN POLICY CENTER,0.1111111111111111,0.0784313725490196,0.13333333333333333,0.0975609756097561,0.08823529411764706,0.12121212121212122,0.17391304347826086,0.11764705882352941,0.11627906976744186,0.04040404040404041,0.30434782608695654,0.13793103448275862,0.12903225806451613,0.2,0.10526315789473684,0.05555555555555555,0.30434782608695654,0.20408163265306123
AMERICAN SOCIETY FOR THE DEFENSE OF TRADITION FAMILY AND PROPERTY,0.0,0.0,0.0,0.0,0.0,0.015267175572519083,0.0,0.016129032258064516,0.015873015873015872,0.064,0.031746031746031744,0.07216494845360824,0.06521739130434782,0.015748031496062992,0.0,0.029850746268656716,0.09278350515463918,0.05405405405405406
AMERICAN SOCIETY OF MECHANICAL ENGINEERS,,,0.0,0.5,,0.3333333333333333,1.0,0.125,0.24,0.20416666666666666,0.22321428571428573,0.2,0.2198581560283688,0.21621621621621623,0.24651162790697675,0.2151394422310757,0.21292775665399238,0.18248175182481752
AMERICAN SPECTATOR FOUNDATION,,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.027522935779816515,0.03225806451612903,0.17391304347826086,0.0267639902676399,0.019230769230769232,0.029797377830750895,0.020905923344947737,0.011447260834014717
AMERICANS FOR PROSPERITY,,,,,,,,,,,,,,,,0.023391812865497075,0.009389671361502348,0.011235955056179775
AMERICANS FOR TAX REFORM,,,,,,,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.02857142857142857,0.25,0.0,0.0,0.035211267605633804,0.03879310344827586
