ein,name,position,year,org
52-1844456,JON ENTINE,EXECUTIVE DIRECTOR,2019,GENETIC LITERACY PROJECT
52-1844456,GEOFFREY KABAT,DIRECTOR,2019,GENETIC LITERACY PROJECT
52-1844456,DREW KERSHEN,DIRECTOR,2019,GENETIC LITERACY PROJECT
52-1844456,MARYAnn J BOOTE,DIRECTOR,2019,GENETIC LITERACY PROJECT
52-1844456,NINA FEDEROFF,DIRECTOR,2019,GENETIC LITERACY PROJECT
52-1844456,BEN LOCWIN,DIRECTOR,2019,GENETIC LITERACY PROJECT
52-1844456,MATTHEW WINKLER,DIRECTOR,2019,GENETIC LITERACY PROJECT
52-1844456,JON ENTINE,EXECUTIVE DIRECTOR,2018,GENETIC LITERACY PROJECT
52-1844456,GEOFFREY KABAT,DIRECTOR,2018,GENETIC LITERACY PROJECT
52-1844456,DREW KERSHEN,DIRECTOR,2018,GENETIC LITERACY PROJECT
52-1844456,MARY J BOOTE,DIRECTOR,2018,GENETIC LITERACY PROJECT
52-1844456,NINA FEDEROFF,DIRECTOR,2018,GENETIC LITERACY PROJECT
52-1844456,BEN LOCWIN,DIRECTOR,2018,GENETIC LITERACY PROJECT
52-1844456,MATTHEW WINKLER,DIRECTOR,2018,GENETIC LITERACY PROJECT
52-1844456,JON ENTINE,EXECUTIVE DIRECTOR,2017,GENETIC LITERACY PROJECT
52-1844456,GEOFFREY KABAT,DIRECTOR,2017,GENETIC LITERACY PROJECT
52-1844456,DREW KERSHEN,DIRECTOR,2017,GENETIC LITERACY PROJECT
52-1844456,JON ENTINE,EXECUTIVE DIRECTOR,2016,GENETIC LITERACY PROJECT
52-1844456,PAMELA RONALD,DIRECTOR,2016,GENETIC LITERACY PROJECT
52-1844456,TED NORDHAUS,DIRECTOR,2016,GENETIC LITERACY PROJECT
52-1844456,GEOFFREY KABAT,DIRECTOR,2016,GENETIC LITERACY PROJECT
52-1844456,DREW KERSHEN,DIRECTOR,2016,GENETIC LITERACY PROJECT
52-1844456,Jon Entine,Director,2015,GENETIC LITERACY PROJECT
52-1844456,Trevor Butterworth,President,2015,GENETIC LITERACY PROJECT
52-1844456,Donal L Rieck,Director,2015,GENETIC LITERACY PROJECT
52-1844456,Dr. S. Robert Lichter,Director,2015,GENETIC LITERACY PROJECT
52-1844456,Truman Anderson,Chairman,2015,GENETIC LITERACY PROJECT
52-1844456,Dodie McCracken,Director,2015,GENETIC LITERACY PROJECT
52-1844456,Tracey Brown,Director,2015,GENETIC LITERACY PROJECT
52-1844456,Paul Hardaker,Director,2015,GENETIC LITERACY PROJECT
52-1844456,DONALD L RIECK,Executive Director,2014,GENETIC LITERACY PROJECT
52-1844456,DR S ROBERT LICHTER,President,2014,GENETIC LITERACY PROJECT
52-1844456,TRUMAN ANDERSON,Chairman,2014,GENETIC LITERACY PROJECT
52-1844456,DODIE MCCRACKEN,Director,2014,GENETIC LITERACY PROJECT
52-1844456,NELL MINO,Treasurer and Secretary,2014,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,Director Emeritus,2014,GENETIC LITERACY PROJECT
52-1844456,DAVID GREEN,Director Emeritus,2014,GENETIC LITERACY PROJECT
52-1844456,ROBERT D STUART,Director Emeritus,2014,GENETIC LITERACY PROJECT
52-1844456,HEATHER C DAHL,Director,2014,GENETIC LITERACY PROJECT
52-1844456,NEWTON MINO,Director Emeritus,2014,GENETIC LITERACY PROJECT
52-1844456,DONALD L RIECK,EXECUTIVE DIRECTOR,2013,GENETIC LITERACY PROJECT
52-1844456,DR S ROBERT LICHTER,PRESIDENT,2013,GENETIC LITERACY PROJECT
52-1844456,TRUMAN ANDERSON,CHAIRMAN,2013,GENETIC LITERACY PROJECT
52-1844456,DODIE MCCRACKEN,DIRECTOR,2013,GENETIC LITERACY PROJECT
52-1844456,NELL MINOW,TREASURER AND SECRETARY,2013,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR EMERITUS,2013,GENETIC LITERACY PROJECT
52-1844456,DAVID GERGEN,DIRECTOR EMERITUS,2013,GENETIC LITERACY PROJECT
52-1844456,ROBERT D STUART,DIRECTOR EMERITUS,2013,GENETIC LITERACY PROJECT
52-1844456,HEATHER C DAHL,DIRECTOR,2013,GENETIC LITERACY PROJECT
52-1844456,NETWON MINOW,DIRECTOR EMERITUS,2013,GENETIC LITERACY PROJECT
52-1844456,DONALD L RIECK,EXECUTIVE DIRECTOR,2012,GENETIC LITERACY PROJECT
52-1844456,DR S ROBERT LICHTER,PRESIDENT,2012,GENETIC LITERACY PROJECT
52-1844456,TRUMAN ANDERSON,CHAIRMAN,2012,GENETIC LITERACY PROJECT
52-1844456,DODIE MCCRACKEN,DIRECTOR,2012,GENETIC LITERACY PROJECT
52-1844456,NELL MINOW,TREASURER AND SECRETARY,2012,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2012,GENETIC LITERACY PROJECT
52-1844456,DAVID GERGEN,DIRECTOR EMERITUS,2012,GENETIC LITERACY PROJECT
52-1844456,NEWTON MINOW,DIRECTOR EMERITUS,2012,GENETIC LITERACY PROJECT
52-1844456,HEATHER C DAHL,DIRECTOR,2012,GENETIC LITERACY PROJECT
52-1844456,DANIELLE STRUPPA,DIRECTOR,2012,GENETIC LITERACY PROJECT
52-1844456,DR S ROBERT LICHTER,PRESIDENT,2011,GENETIC LITERACY PROJECT
52-1844456,TRUMAN ANDERSON,CHAIRMAN,2011,GENETIC LITERACY PROJECT
52-1844456,DODIE MCCRACKEN,DIRECTOR,2011,GENETIC LITERACY PROJECT
52-1844456,NELL MINOW,DIRECTOR,2011,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2011,GENETIC LITERACY PROJECT
52-1844456,DONALD L RIECK,EXECUTIVE DIRECTOR,2011,GENETIC LITERACY PROJECT
52-1844456,DAVID GERGEN,DIRECTOR EMERITUS,2011,GENETIC LITERACY PROJECT
52-1844456,NEWTON MINOW,DIRECTOR EMERITUS,2011,GENETIC LITERACY PROJECT
52-1844456,HEATHER C DAHL,DIRECTOR,2011,GENETIC LITERACY PROJECT
52-1844456,DONALD L RIECK,EXECUTIVE DIRECTOR,2010,GENETIC LITERACY PROJECT
52-1844456,DR SPOBERT LICHTER,PRESIDENT,2010,GENETIC LITERACY PROJECT
52-1844456,TRUMAN ANDERSON,CHAIRMAN,2010,GENETIC LITERACY PROJECT
52-1844456,DODIE MCCRACKEN,DIRECTOR,2010,GENETIC LITERACY PROJECT
52-1844456,NELL MINOW,DIRECTOR,2010,GENETIC LITERACY PROJECT
52-1844456,PAUL MONGERSON,DIRECTOR,2010,GENETIC LITERACY PROJECT
52-1844456,DONALD L. RIECK,EXECUTIVE DIRECTOR,2008,GENETIC LITERACY PROJECT
