CODER,SOURCE1,SOURCE2,VERIFIED,NAME,ORG,CORE_ORG,CHILD_ORG/PROJECT,YEAR,POSITION,POSITION_SIMPLE,FIRST_NAME,LAST_NAME,MIDDLE_NAME,HONORIFICS,PREFIX,SUFFIX,EIN,MULTIPLE,UUID,CRP_CODE,CAT1,CAT2,fossil_fuel
KEN,GUIDESTAR,,YES,MARCUS STERNE,DAILY CALLER NEWS FOUNDATION THE,TRUE,,2018,Director,BOARD,MARCUS,STERNE,,,,,452922471,FALSE,d1e79b5a-84e9-4296-acc6-8e91261b8717,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,TUCKER CARLSON,DAILY CALLER NEWS FOUNDATION THE,TRUE,,2018,Co-founder/Secretary,"BOARD, MANAGEMENT",TUCKER,CARLSON,,,,,452922471,TRUE,d786262d-f918-4d55-8f2f-b29e2d19bbee,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS,FALSE
KEN,,CORE ORG WEBSITE,YES,TUCKER CARLSON,DAILY CALLER NEWS FOUNDATION THE,FALSE,DAILY CALLER THE,2018,Co-founder,"BOARD, MANAGEMENT",TUCKER,CARLSON,,,,,452922471,TRUE,d786262d-f918-4d55-8f2f-b29e2d19bbee,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,DANIEL M ROTHSCHILD,MERCATUS CENTER GEORGE MASON UNIVERSITY,TRUE,,2018,Executive Director,MANAGEMENT,DANIEL,ROTHSCHILD,M,,,,541436224,TRUE,75cfa282-f0d9-40f8-b4f2-65ebd6a66329,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,,YES,DANIEL M ROTHSCHILD,AMERICA'S FUTURE FOUNDATION,FALSE,,2018,Secretary,,DANIEL,ROTHSCHILD,,,,,521928321,TRUE,75cfa282-f0d9-40f8-b4f2-65ebd6a66329,X4000,NON-PROFITS,OTHER,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,JENNIFER ZAMBONE,MERCATUS CENTER GEORGE MASON UNIVERSITY,TRUE,,2018,Secretary/Chief Operation Officer,MANAGEMENT,JENNIFER,ZAMBONE,,,,,541436224,FALSE,7c1ce4bf-2659-44f8-ab51-460bb458447a,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,GUIDESTAR,CORE ORG WEBSITE,YES,GARY D LEFF,MERCATUS CENTER GEORGE MASON UNIVERSITY,TRUE,,2018,Treasurer/Chief Financial Officer,"BOARD, MANAGEMENT",GARY,LEFF,D,,,,541436224,TRUE,83db119e-9f0d-4ac2-808a-faa1891c11da,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,LINKEDIN,Dun & Bradstreet Market Identifiers Plus,YES,GARY D LEFF,"MILES AND POINTS CONSULTING, LLC",FALSE,,2018,Chief Executive Officer/Chair,"BOARD, MANAGEMENT",GARY,LEFF,D,,,,,TRUE,83db119e-9f0d-4ac2-808a-faa1891c11da,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE",FALSE
KEN,GUIDESTAR,ORG WEBSITE,YES,GARY D LEFF,INSTITUTE FOR HUMANE STUDIES,FALSE,,2018,Secretary/Treasurer,BOARD,GARY,LEFF,D,,,,,TRUE,83db119e-9f0d-4ac2-808a-faa1891c11da,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE,FALSE
KEN,LINKEDIN,,YES,GARY D LEFF,FREDDIE AWARDS,FALSE,,2018,Nominations Chair,BOARD,GARY,LEFF,D,,,,,TRUE,83db119e-9f0d-4ac2-808a-faa1891c11da,T9400,TRAVEL AGENTS,MISC BUSINESS,FALSE
