org,data_filled,ein,guidestar,nccs,category,geographic_focus,combine_name,billionaire,ruling_year,naics_code,sic_code,ntee_code,address,state,id
SILICON VALLEY COMMUNITY FOUNDATION,True,205205488,True,,Community,"California, United Kingdom, India, Israel",SILICON VALLEY COMMUNITY FOUNDATION,,2006.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.","Community Foundations (T31)
 Fund Raising and/or Fund Distribution (S12)","2440 West El Camino Real Ste 300 
 Mountain View, CA 94040 USA
 
                             Paul  Velaski 
                          
 
                                Primary Contact Phone: (650) 450-5400
                              
 pvelaski@siliconvalleycf.org
 Chief Financial Officer
 www.siliconvalleycf.org
 
                                Main Office Phone: (650) 450-5400
                              
 2440 West El Camino Real Ste 300 
 Mountain View, CA 94040 ",CA,2186
GREATER HOUSTON COMMUNITY FOUNDATION,True,237160400,True,,Community,"Texas, Tanzania, India, Mexico, Israel, United Kingdom, Canada, Zambia ",GREATER HOUSTON COMMUNITY FOUNDATION,,2017.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Community Foundations (T31),"515 Post Oak Boulevard Suite 1000 
 Houston, TX 77027 USA
 
                            Mrs. Rachel  Young 
                          
 
                                Primary Contact Phone: (713) 333-2234
                              
 ryoung@ghcf.org
 Marketing & Brand Manager
 www.ghcf.org
 
                                Main Office Phone: (713) 333-2200
                              
 515 Post Oak Boulevard Suite 1000 
 Houston, TX 77027 
 515 Post Oak Boulevard Suite 1000 
 Houston, TX 77027 ",TX,1493
ORANGE COUNTY COMMUNITY FOUNDATION,True,330378778,True,,Community,"California, India, Nepal, Mexico, South Africa",ORANGE COUNTY COMMUNITY FOUNDATION,,1994.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Community Foundations (T31),"4041 MacArthur Blvd Ste 510 
 Newport Beach, CA 92660 USA
 
                             Todd  Hanson 
                          
 
                                Primary Contact Phone: (949) 553-4202
                              
 thanson@oc-cf.org
 Vice President Center for Engaged Philanthropy
 www.oc-cf.org
 
                                Main Office Phone: (949) 553-4202
                              
 4041 MacArthur Blvd Ste 510 
 Newport Beach, CA 92660 
 4041 MacArthur Blvd Ste 510 
 Newport Beach, CA 92660 ",CA,2694
SAN FRANCISCO FOUNDATION THE,True,10679337,True,,Community,"California, Haiti, Kenya, Israel, West Bank/Gaza (Palestininian Territories) ",SAN FRANCISCO FOUNDATION The,,2002.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Community Foundations (T31),"One Embarcadero Center Suite 1400 
 San Francisco, CA 94111 USA
 
                             Colin  Richardson 
                          
 
                                Primary Contact Phone: (415) 733-8500
                              
 publicaffairs@sff.org
 Director, Grants Administration
 www.sff.org
 
                                Main Office Phone: (415) 733-8500
                              
 One Embarcadero Center Suite 1400 
 San Francisco, CA 94111 
 One Embarcadero Center Suite 1400 
 San Francisco, CA 94111 ",CA,996
EXXONMOBIL FOUNDATION,True,136082357,True,,Company-sponsored,"Virginia, Lousiana, Washington, D.C., Ohio, Utah, Georgia, Wyoming, New Jersey, Texas, Alabama, New York, Montana, Alaska, Oklahoma, Colorado, California, Illinois, Developing Countries, Africa, Bermuda, Nigeria, Indonesia, Angola",EXXONMOBIL FOUNDATION,,1957.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"1735 Hughes Landing Hhl W 04 N162  The Woodlands, TX 77380
 The Woodlands, TX 77380 
 ExxonMobil@EasyMatch.com",TX,1347
ANSCHUTZ FOUNDATION THE,True,742316617,True,,Company-sponsored,"Colorado, Haiti, United Kingdom, Vietnam, Guatemala, Oklahoma, Mexico, Canada",ANSCHUTZ FOUNDATION The,,1984.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Corporate Foundations (T21),"555 17th St Ste 2400  
 Denver, CO 80202 ",CO,1832
WESTROCK FOUNDATION THE,True,61652243,True,,Company-sponsored,"Washington, D.C., Virginia, Ohio, Massachusetts, South Carolina, Mexico, Canada, New York, Georgia, China, United Kingdom",WESTROCK FOUNDATION The,,2002.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"1000 Abernathy Rd  Atlanta GA 30328-5606
 Atlanta, GA 30328 
 WWW.WESTROCKFOUNDATION.ORG",GA,2472
BRADLEY IMPACT FUND,True,454678325,True,,Donor-advised fund,"Jordan, Australia, Turkey, Illinois, Washington, D.C., Wisconsin, Virginia",BRADLEY IMPACT FUND,,2013.0,813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC",Fund Raising and/or Fund Distribution (T12),"1400 N Water St Ste 300  Milwaukee WI 53202-2506
 Milwaukee, WI 53202 
 WWW.BRADLEYIMPACTFUND.ORG",WI,592
DONORS CAPITAL FUND,True,541934032,True,,Donor-advised fund,National,DONORS TRUST & DONORS CAPITAL FUND,,1999.0,813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC",Fund Raising Organizations That Cross Categories includes Community Funds/Trusts and Federated Giving Programs) e.g. United Way (T70),"1800 Diagonal Rd Ste 280  
 Alexandria, VA 22314 
 www.donorscapitalfund.org",VA,1177
DONORS TRUST,True,522166327,True,,Donor-advised fund,National,DONORS TRUST & DONORS CAPITAL FUND,,1999.0,813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC",Philanthropy / Charity / Voluntarism Promotion (General) (T50),"1800 Diagonal Road Suite 280 
 Alexandria, VA 22314 USA
 
                            Mr Lawson  R Bader 
                          
 
                                Primary Contact Phone: (703) 535-3563
                              
 lbader@donorstrust.org
 President & Chief Executive Officer
 www.donorstrust.org",VA,1899
FIDELITY CHARITABLE GIFT FUND,False,110303001,False,,Donor-advised fund,,FIDELITY CHARITABLE GIFT FUND,,,,,,,,2172
NATIONAL PHILANTHROPIC TRUST,False,237825575,False,,Donor-advised fund,,NATIONAL PHILANTHROPIC TRUST,,,,,,,,2554
SCHWAB CHARITABLE,False,311640316,False,,Donor-advised fund,,SCHWAB CHARITABLE,,,,,,,,2269
VANGUARD CHARITABLE ENDOWMENT PROGRAM,False,232888152,False,,Donor-advised fund,,VANGUARD CHARITABLE ENDOWMENT PROGRAM,,,,,,,,2183
ADOLPH COORS FOUNDATION,True,510172279,True,,Family,Colorado,ADOLPH COORS FOUNDATION,,1975.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"215 Saint Paul St Ste 300  
 Denver, CO 80206 
 www.coorsfoundation.org",CO,2979
ANNENBERG FOUNDATION,True,236257083,True,,Family,"California, Africa, Asia, Europe, New York",ANNENBERG FOUNDATION,,1958.0,611 Educational Services,,Education N.E.C. (B99),"101 W Elm St Ste 510  
 Conshohocken, PA 19428 
 www.annenberg.org",PA,2397
ARMSTRONG FOUNDATION,True,756003209,True,,Family,"National, Washington, D.C., Virginia, California, Texas, Mississippi",ARMSTRONG FOUNDATION,,1951.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"PO Box 470338  
 Fort Worth, TX 76147 
 WWW.ARMSTRONGFDN.ORG",TX,2533
ARTHUR AND CARLYSE CIOCCA CHARITABLE FOUNDATION,True,943279919,True,,Family,"California, Michigan, Virginia, Texas, Haiti, Washington, D.C., New York",ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,,1997.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"315 Montgomery St Fl 9  San Francisco CA 94104-1858
 San Francisco, CA 94104 
 N/A",CA,3374
BETH AND RAVENEL CURRY FOUNDATION,True,237411083,True,,Family,"New York, North Carolina, Washington, D.C., Haiti, Rwanda, New Jersey, South Carolina",BETH AND RAVENEL CURRY FOUNDATION,,1975.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"499 Park Ave Fl 17  
 New York, NY 10022 
 FOUNDATION CENTER (FDNCENTER.ORG)",NY,2245
BILL AND MELINDA GATES FOUNDATION,True,562618866,True,,Family,"National, International, Europe, Developing Countries, South America, Asia, Africa, Ethiopia, India, California, Nigeria, New York, Washington, Washington, D.C. ",BILL AND MELINDA GATES FOUNDATION,,2000.0,,,,,WA,1356
"BRADY EDUCATION FOUNDATION, INC.",True,396064733,True,,Family,"North Carolina, Minnesota, New York, Wisconsin, Washington, D.C.","BRADY EDUCATION FOUNDATION, INC.",,1957.0,813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC",Single Organization Support (B11),"100 Europa Dr Ste 351  
 Chapel Hill, NC 27517 
 BRADYEDUCATIONFOUNDATION.ORG",NC,1405
CHARLES KOCH FOUNDATION,True,480918408,True,,Family,"Virginia, Washington, D.C., Canada, Brazil, California, Turkey, Jordan, New York, United Kingdom, Texas",CHARLES KOCH INSTITUTE AND FOUNDATION,,1998.0,813410 Civic and Social Organizations,"8641 Civic and Social Associations
 8699 Membership Organizations, NEC","Scholarships, Student Financial Aid, Awards (B82)","4111 E 37th St N  
 Wichita, KS 67220 
 WWW.CHARLESKOCHFOUNDATION.ORG",KS,2136
CHARLES KOCH INSTITUTE,True,274967732,True,,Family,"California, Washington, D.C., New York, Virginia",CHARLES KOCH INSTITUTE AND FOUNDATION,,2011.0,"611310 Colleges, Universities, and Professional Schools",8221 Colleges and Universities,Higher Education Institutions (B40),"1320 N Courthouse Rd Ste 50  Arlington VA 22201-2501
 Arlington, VA 22201 
 WWW.CHARLESKOCHINSTITUTE.ORG",VA,3478
CHASE FOUNDATION OF VIRGINIA,True,541770697,True,,Family,"Washington, D.C., Virginia, Canada, California, Michigan, United Kingdom",CHASE FOUNDATION OF VIRGINIA,,1995.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"350 Old Ivy Way Ste 100  Charlottesville VA 22903-4897
 Charlottesville, VA 22903 
 N/A",VA,3484
"COVENANT FOUNDATION, INC.",True,742622129,True,,Family,"Texas, Haiti, Washington, D.C., Colorado, Ohio, Guatemala, India, Mexico, Papua New Guinea, Virginia","COVENANT FOUNDATION, INC.",,2000.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"115 N Loop 1604 E Ste 2207  
 San Antonio, TX 78232 
 N/A",TX,1509
DAVID J. AND MARY L. G. THEROUX FOUNDATION,True,943180069,True,,Family,"California, Kansas",DAVID J.  MARY L. G. THEROUX FOUNDATION,,1993.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"100 Swan Way Ste 200  
 Oakland, CA 94621 
 N/A",CA,1704
DIANA DAVIS SPENCER FOUNDATION,True,203672969,True,,Family,"New York, Virginia, Massachusetts, Washington, D.C., Poland, United Kingdom, Israel, Czech Republic, Costa Rica, Iran, Switzerland, Maryland, Maine",DAVIS FAMILY FOUNDATIONS,,2007.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"3 Bethesda Metro Ctr Ste 118  
 Bethesda, MD 20814 
 WWW.DDSFOUNDATION.ORG",MD,1194
SHELBY CULLOM DAVIS CHARITABLE FUND,True,203734688,True,,Family,"New York, Illinois, Switzerland, Maine, New Mexico, United Kingdom, Massachusetts, Peru, West Bank/Gaza (Palestinian Territories), Canada, California",DAVIS FAMILY FOUNDATIONS,,2006.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"501 Silverside Rd  
 Wilmington, DE 19809 ",DE,3313
SHELBY CULLOM DAVIS FOUNDATION,True,136165382,False,,Family,,DAVIS FAMILY FOUNDATIONS,,,,,,,,295
DICK AND BETSY DEVOS FAMILY FOUNDATION,True,382902412,True,,Family,"Michigan, United Kingdom, Rwanda, Bahamas, Florida, China, Egypt, Washington, D.C.",DEVOS FAMILY FOUNDATIONS,,1990.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),,,1551
DOUGLAS AND MARIA DEVOS FOUNDATION,True,383035972,True,,Family,"Michigan, Jamaica, Bahamas, Netherlands, Guatemala",DEVOS FAMILY FOUNDATIONS,,1992.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),,,2286
RICHARD AND HELEN DEVOS FOUNDATION THE,True,456659303,True,,Family,"Florida, Michigan, Haiti, Democratic Republic of the Congo, Holy See, Russia, Ukraine",DEVOS FAMILY FOUNDATIONS,,2012.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"126 Ottawa Ave NW Ste 500  
 Grand Rapids, MI 49503 ",MI,644
E. L. CRAIG FOUNDATION,True,446015127,True,,Family,"Washington, D.C., Virginia, California, Michigan, Missouri",E. L. CRAIG FOUNDATION,,1961.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"PO Box 1090  
 Joplin, MO 64802 ",MO,3102
ED UIHLEIN FAMILY FOUNDATION,True,205723621,True,,Family,"Virginia, Illinois, Canada, Washington, D.C., Wisconsin, Mexico",ED UIHLEIN FAMILY FOUNDATION,,2006.0,813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC",Single Organization Support (B11),"736 N Western Ave Ste 339  
 Lake Forest, IL 60045 
 
",IL,3824
"F. M. KIRBY FOUNDATION, INC.",True,516017929,True,,Family,"North Carolina, Pennsylvania, New Jersey, New York, Virginia, Washington, D.C., Haiti","F. M. KIRBY FOUNDATION, INC.",,1932.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"17 DEHART ST P.O. BOX 151 
 MORRISTOWN, NJ 07963 USA
 
                             William  Byrnes 
                          
 
                                Primary Contact Phone: (973) 538-4800
                              
 Vice President – Grants
 www.fmkirbyfoundation.org
 
                                Main Office Phone: (973) 538-4800
                              
 17 DEHART ST P.O. BOX 151 
 MORRISTOWN, NJ 07963 ",MO,1535
FRED MAYTAG FAMILY FOUNDATION,True,421444870,True,,Family,"Iowa, Mexico, Nicaragua, Costa Rica, New York, Canada, Arizona, China",FRED MAYTAG FAMILY FOUNDATION,,1996.0,813110 Religious Organizations,8661 Religious Organizations,"Religion Related, Spiritual Development N.E.C. (X99)","3701 Sacramento St # 369  San Francisco CA 94118-1705
 San Francisco, CA 94118 
 N/A",CA,3015
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,True,341881601,True,,Family,"Washington, D.C., Ohio, Virginia, Kentucky",FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,,1999.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"26202 Detroit Rd Ste 100d  Westlake OH 44145-2480
 Westlake, OH 44145 ",OH,3508
GLEASON FAMILY FOUNDATION,True,205804684,True,,Family,,GLEASON FAMILY FOUNDATION,,2007.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"67 Mark Dr  
 San Rafael, CA 94903 
 N/A",CA,350
HERRICK FOUNDATION,True,386041517,True,,Family,"Michigan, Indiana, Canada",HERRICK FOUNDATION,,1949.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"2290 First Natl Bld 660 Woodward A  
 Detroit, MI 48226 ",MI,3127
HERTOG FOUNDATION,True,262002295,True,,Family,"New York, Washington, D.C., Israel",HERTOG FOUNDATION,,2008.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"223 Sunset Ave Ste 200  
 Palm Beach, FL 33480 
 HTTPS://WWW.HERTOGFOUNDATION.ORG",FL,3522
HOWARD CHARITABLE FOUNDATION,True,911952040,True,,Family,"California, Washington, D.C., Montana, Iraq",HOWARD CHARITABLE FOUNDATION,,1999.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Public Foundations (T30),"4616 25th Ave NE PMB 617  
 Seattle, WA 98105 ",WA,2823
J. P. HUMPHREYS FOUNDATION,True,431244445,True,,Family,"Kansas, Pennsylvania, Washington, D.C., Virginia, New York, Michigan, Missouri, Illinois",J. P. HUMPHREYS FOUNDATION,,,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"PO Box 1090  
 Joplin, MO 64802 
 N/A",MO,2309
J.M. KAPLAN FUND,True,136090286,True,,Family,"New York, Canada, Cuba, United Kingdom, Mexico, Urguay, Turkey, Maryland ",J.M. KAPLAN FUND,,1950.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"71 W 23rd St Fl 9  New York NY 10010-3507
 New York, NY 10010 
 WWW.JMKFUND.ORG",NY,425
JAQUELIN HUME FOUNDATION,True,946080099,True,,Family,"National, Washington, D.C., New York, California, Virginia, Massachusetts",JAQUELIN HUME FOUNDATION,,1964.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"3640 Washington St  
 San Francisco, CA 94118 
 N/A",CA,3439
KERN FAMILY FOUNDATION,True,391923558,True,,Family,Pennsylvania,KERN FAMILY FOUNDATION,,1999.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"W305s4239 Brookhill Rd  
 Waukesha, WI 53189 USA
 
                             Clement  Mariaselvanayagam 
                          
 info@kffdn.org
 www.kffdn.org
 
                                Main Office Phone: (262) 968-6838
                              
 W305s4239 Brookhill Rd  
 Waukesha, WI 53189 
 W305s4239 Brookhill Rd  
 Waukesha, WI 53189 ",WI,2846
LAKESIDE FOUNDATION,True,946066229,True,,Family,"South Carolina, California, Lebanon, Kenya, Massachusetts, Mexico, Virginia",LAKESIDE FOUNDATION,,1956.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"3697 Mt Diablo Blvd Ste 205  
 Lafayette, CA 94549 ",CA,1604
