sic_code,sole_focus,id,ntee_code,ruling_year,ein,organization_type,state,combined_name,denial,peripheral_focus,naics_code,address,org,substantive_focus,delay,org_level_1,org_level_2,num_docs
2741 Miscellaneous Publishing,False,577,"Printing, Publishing (A33)/ Research Institutes and/or Public Policy Analysis (B05)",1985.0,52-1400302,501(c)(3),MD,,1.0,0.0,511199 All Other Publishers,"P.O. Box 5647  / Derwood, MD 20855 USA/                             Mr. Don  Irvine                           /                                 Primary Contact Phone: (240) 686-5964                              / don.irvine@academia.org/ Chairman/ http://www.academia.org/ 4200 WisconsinAve. NW #100-198  / Washington, DC 20016 / 18627 Reliant Dr  / Gaithersburg, MD 20879",ACCURACY IN ACADEMIA,1.0,1.0,ACCURACY IN ACADEMIA,ACCURACY IN ACADEMIA,2001.0
,False,192,"Media, Communications Organizations (A30)/ Printing, Publishing (A33)/ Radio (A34)",1971.0,23-7135837,501(c)(3),DC,,1.0,0.0,51 Information,"1717 K Street Northwest Suite 900 / Washington, DC 20006 USA/                              Taylor  Anderson                           /                                 Primary Contact Phone: (509) 989-7239                              / info@aim.org/ Donor Relations Officer/ http://www.aim.org/                                 Main Office Phone: (202) 364-4401                              / 1717 K Street Northwest Suite 900 / Washington, DC 20006",ACCURACY IN MEDIA,1.0,1.0,ACCURACY IN MEDIA,ACCURACY IN MEDIA,5001.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1864,Research Institutes and/or Public Policy Analysis (X05)/ Research Institutes and/or Public Policy Analysis (B05),1990.0,38-2926822,501(c)(3),MI,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"98 E. Fulton Street  / Grand Rapids, MI 49503 USA/                             Mr. Kris Alan Mauren                           /                                 Primary Contact Phone: (616) 454-3080                              / kmauren@acton.org/ Executive Director/ www.acton.org/                                 Main Office Phone: (616) 454-3080                              / 98 E. Fulton Street  / Grand Rapids, MI 49503 / 98 E. Fulton Street  / Grand Rapids, MI 49503 / Corso Vittorio Emanuele II No. 294/ Roma -- 00186/ International Tel: +(39) 06-688-92500",ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,1.0,1.0,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,1999.0
"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",False,2057,Alliance/Advocacy Organizations (R01),1986.0,77-0099744,501(c)(3),CA,,1.0,0.0,813319 Other Social Advocacy Organizations,"500 Capitol Mall Suite 2050 / Sacramento, CA 95814 USA/                             Mr Michael  Sertic                           /                                 Primary Contact Phone: (916) 273-4443                              / mike@theadvocates.org/ President/ https://www.theadvocates.org/                                 Main Office Phone: (916) 273-4443                              / 500 Capitol Mall Suite 2050 / Sacramento, CA 95814 / 500 Capitol Mall Suite 2050 / Sacramento, CA 95814 / 500 Capitol Mall Suite 2050/ Sacramento CA 95814/ International Tel:",ADVOCATES FOR SELF GOVERNMENT,1.0,1.0,ADVOCATES FOR SELF GOVERNMENT,ADVOCATES FOR SELF GOVERNMENT,1481.0
"7999 AMUSEMENT AND RECREATION, NEC/ 8299 SCHOOLS AND EDUCATIONAL SERVICES",False,3301,"Adult, Continuing Education (B60)",2009.0,26-4380206,501(c)(3),AK,,0.0,1.0,611699 All Other Miscellaneous Schools and Instruction,"7926 Old Seward Hwy Ste A6  / Anchorage, AK 99518 / www.alaskapolicyforum.org",ALASKA POLICY FORUM,0.0,1.0,ALASKA POLICY FORUM,ALASKA POLICY FORUM,560.0
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,2523,Government and Public Administration (W20),1994.0,25-1704173,501(c)(3),PA,,1.0,0.0,813410 Civic and Social Organizations,"305 Mt Lebanon Blvd Ste 208  Pittsburgh PA 15234-1511/ Pittsburgh, PA 15234 / WWW.ALLEGHENYINSTITUTE.ORG",ALLEGHENY INSTITUTE FOR PUBLIC POLICY,1.0,1.0,ALLEGHENY INSTITUTE FOR PUBLIC POLICY,ALLEGHENY INSTITUTE FOR PUBLIC POLICY,1070.0
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,799,Community Coalitions (S21),1995.0,52-1928321,501(c)(3),VA,,1.0,0.0,813410 Civic and Social Organizations,"Americas Future Foundation 3434 Washington Blvd. 1st Floor. / Arlington, VA 22201 USA/                              Cindy  Cerquitella                           /                                 Primary Contact Phone: (703) 801-6733                              / cindy@americasfuture.org/ Executive Director/ americasfuture.org/                                 Main Office Phone: (202) 331-2261                              / Americas Future Foundation 3434 Washington Blvd. 1st Floor. / Arlington, VA 22201 / Americas Future Foundation 3434 Washington Blvd. 1st Floor. / Arlington, VA 22201",AMERICA'S FUTURE FOUNDATION,1.0,1.0,AMERICA'S FUTURE FOUNDATION,AMERICA'S FUTURE FOUNDATION,1968.0
,True,75,Public Utilities (W80),1994.0,52-1799853,501(c)(6),VA,,0.0,0.0,221 Utilities,"2121 N Westmoreland St # St503  Arlington VA 22213-1055/ Arlington, VA 22213 / WWW.AMERICASPOWER.ORG",AMERICA'S POWER,1.0,1.0,AMERICA'S POWER,AMERICA'S POWER,1572.0
8621 Professional Organizations,False,3381,"Professional Societies, Associations (Y03)",1943.0,73-0125920,501(c)(3),OK,,1.0,1.0,813920 Professional Organizations,"P.O. Box 979  / Tulsa, OK 74101 USA/                              Bryan  Haws                           /                                 Primary Contact Phone: (918) 560-2607 Ext 918560                              / bhaws@aapg.org/ www.aapg.org/                                 Main Office Phone: (918) 5842555 Ext 918560                              / 1444 South Boulder Avenue  / Tulsa, OK 74119 / P.O. Box 979  / Tulsa, OK 74101-0979 / P.O. Box 979 / Tulsa  74101-0979/ International Tel: 91856 9185602607",AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS,0.0,1.0,AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS,AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS,5817.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,2925,Promotion of Business (Chambers of Commerce) (S41),1985.0,84-0912828,501(c)(6),DC,,1.0,0.0,813910 Business Associations,"1101 Pennsylvania Ave NW Ste 600  / Washington, DC 20004 / WWW.AMERICANCOALCOUNCIL.ORG",AMERICAN COAL COUNCIL,1.0,1.0,AMERICAN COAL COUNCIL,AMERICAN COAL COUNCIL,356.0
,False,394,,,45-2600535,501(c)(3),,,0.0,0.0,,,AMERICAN COMMITMENT,1.0,1.0,AMERICAN COMMITMENT,AMERICAN COMMITMENT,379.0
"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",True,362,Alliance/Advocacy Organizations (C01),2018.0,82-3815628,501(c)(4),WI,,0.0,0.0,813319 Other Social Advocacy Organizations,"PO Box 391  / Appleton, WI 54912 / WWW.ACC.ECO",AMERICAN CONSERVATION COALITION,1.0,1.0,AMERICAN CONSERVATION COALITION,AMERICAN CONSERVATION COALITION,473.0
"8399 SOCIAL SERVICES, NEC",False,3768,Civil Liberties Advocacy (R60),1999.0,52-2121856,501(c)(3),VA,,1.0,1.0,813311 Human Rights Organizations,"175 Cameron Station Blvd  Alexandria VA 22304-7783/ Alexandria, VA 22304 / www.theacru.org",AMERICAN CONSTITUTIONAL RIGHTS UNION,0.0,1.0,AMERICAN CONSTITUTIONAL RIGHTS UNION,AMERICAN CONSTITUTIONAL RIGHTS UNION,6447.0
,False,3516,Education N.E.C. (B99),2007.0,20-8601897,501(c)(3),VA,,0.0,0.0,611 Educational Services,"13337 Glen Taylor Ln  / Herndon, VA 20171 / WWW.THEAMERICANCONSUMER.ORG",AMERICAN CONSUMER INSTITUTE THE,1.0,1.0,AMERICAN CONSUMER INSTITUTE THE,AMERICAN CONSUMER INSTITUTE THE,1885.0
