org,crp_code,crp_cat1,crp_cat2
Accordion Partners LLC,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE & REAL ESTATE"
ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
ACTON SCHOOL OF BUSINESS,H5200,"TECHNICAL, BUSINESS, AND VOCATIONAL SCHOOL AND SVCS",OTHER
ADAM SMITH SOCIETY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
ADOLPH COORS FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
AFRICAN DREAM INITIATIVE,X4000,NON-PROFITS,OTHER
AFSNC INC AKA START-UP NATION CENTRAL,J5100,PRO-ISRAEL,IDEOLOGICAL/SINGLE-ISSUE
AGILYSYS,C5120,COMPUTER SOFTWARE,COMMUNICATIONS/ELECTRONICS
ALEKSANDR SOLZHENITSYN CENTER,X4000,NON-PROFITS,OTHER
ALTICOR CORPORATE ENTERPRISES,G0000,GENERAL COMMERCE,MISC BUSINESS
AMERICA'S FUTURE FOUNDATION,X4000,NON-PROFITS,OTHER
AMERICAN BEVERAGE ASSOCIATION,G1000,GENERAL BUSINESS ASSOCIATIONS,MISC BUSINESS
AMERICAN CONSTITUTIONAL RIGHTS UNION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICAN COUNCIL ON SCIENCE AND HEALTH,J3000,CONSUMER GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICAN ENERGY ALLIANCE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC POLICY RESEARCH,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
AMERICAN GEOPHYSICAL UNION,X4000,NON-PROFITS,OTHER
AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
