person_id,ein
25,52-1844456
77,52-1844456
78,52-1844456
79,52-1844456
80,52-1844456
81,52-1844456
140,76-0149778
141,76-0149778
160,76-0149778
142,76-0149778
245,76-0149778
246,76-0149778
146,76-0149778
143,76-0149778
145,76-0149778
250,76-0149778
251,76-0149778
464,53-0045720
665,53-0045720
666,53-0045720
667,53-0045720
668,53-0045720
669,53-0045720
670,53-0045720
671,53-0045720
672,53-0045720
673,53-0045720
674,53-0045720
675,53-0045720
676,53-0045720
677,53-0045720
678,53-0045720
679,53-0045720
680,53-0045720
681,53-0045720
682,53-0045720
683,53-0045720
830,22-3235650
831,22-3235650
897,23-7135837
979,23-7135837
980,23-7135837
981,23-7135837
982,23-7135837
911,23-7135837
984,23-7135837
910,23-7135837
986,23-7135837
1233,54-1436224
1223,54-1436224
1349,54-1436224
1227,54-1436224
1351,54-1436224
1352,54-1436224
1226,54-1436224
1272,54-1436224
1355,54-1436224
1231,54-1436224
1228,54-1436224
1665,13-0433430
1465,13-0433430
1667,13-0433430
1668,13-0433430
1669,13-0433430
1670,13-0433430
1671,13-0433430
1672,13-0433430
1673,13-0433430
1674,13-0433430
1654,13-0433430
1676,13-0433430
1677,13-0433430
1678,13-0433430
1679,13-0433430
1680,13-0433430
1681,13-0433430
1682,13-0433430
1683,13-0433430
1684,13-0433430
1840,47-4610810
1841,47-4610810
1842,47-4610810
1843,47-4610810
1844,47-4610810
1845,47-4610810
1909,73-0667344
2304,81-0393444
2305,81-0393444
2306,81-0393444
2307,81-0393444
2194,81-0393444
2309,81-0393444
2310,81-0393444
2146,81-0393444
2239,81-0393444
2293,81-0393444
2314,81-0393444
2315,81-0393444
2316,81-0393444
2297,81-0393444
2318,81-0393444
2319,81-0393444
2253,81-0393444
2244,81-0393444
2245,81-0393444
2658,84-0700841
2659,84-0700841
2660,84-0700841
2661,84-0700841
2662,84-0700841
2663,84-0700841
2664,84-0700841
2665,84-0700841
2666,84-0700841
2667,84-0700841
2668,84-0700841
2669,84-0700841
2670,84-0700841
2671,84-0700841
2672,84-0700841
2673,84-0700841
2674,84-0700841
2675,84-0700841
2676,84-0700841
2677,84-0700841
3041,54-1880642
3042,54-1880642
3043,54-1880642
3044,54-1880642
3045,54-1880642
3046,54-1880642
3047,54-1880642
3048,54-1880642
3049,54-1880642
3254,22-2570926
3255,22-2570926
3256,22-2570926
3257,22-2570926
3258,22-2570926
3259,22-2570926
3260,22-2570926
3261,22-2570926
3262,22-2570926
3263,22-2570926
3264,22-2570926
3265,22-2570926
3111,22-2570926
3367,13-0659550
3568,13-0659550
3569,13-0659550
3570,13-0659550
3571,13-0659550
3572,13-0659550
3573,13-0659550
3574,13-0659550
3575,13-0659550
3576,13-0659550
3577,13-0659550
3578,13-0659550
3579,13-0659550
3542,13-0659550
3581,13-0659550
3582,13-0659550
3583,13-0659550
3584,13-0659550
3585,13-0659550
3586,13-0659550
3670,91-2053400
3792,73-1436375
3793,73-1436375
3794,73-1436375
3700,73-1436375
3796,73-1436375
3797,73-1436375
4131,95-0596680
4132,95-0596680
2819,95-0596680
4134,95-0596680
4135,95-0596680
4136,95-0596680
4137,95-0596680
4138,95-0596680
4139,95-0596680
4140,95-0596680
4141,95-0596680
4142,95-0596680
4143,95-0596680
4144,95-0596680
4327,13-3649537
4299,13-3649537
4329,13-3649537
4330,13-3649537
4331,13-3649537
4229,13-3649537
4333,13-3649537
4304,13-3649537
4335,13-3649537
4467,26-0006579
4399,26-0006579
4469,26-0006579
4470,26-0006579
4471,26-0006579
4472,26-0006579
4956,52-1916480
4957,52-1916480
4958,52-1916480
4959,52-1916480
4960,52-1916480
4961,52-1916480
4962,52-1916480
4963,52-1916480
4964,52-1916480
4965,52-1916480
4966,52-1916480
4967,52-1916480
4968,52-1916480
4969,52-1916480
4970,52-1916480
4971,52-1916480
4972,52-1916480
4973,52-1916480
4895,52-1916480
4975,52-1916480
5079,52-1527294
5194,52-1527294
5136,52-1527294
5062,52-1527294
5126,52-1527294
5156,52-1527294
5093,52-1527294
5065,52-1527294
5473,73-0529079
5474,73-0529079
5475,73-0529079
5476,73-0529079
5466,73-0529079
5478,73-0529079
5479,73-0529079
5480,73-0529079
5481,73-0529079
5482,73-0529079
5904,75-2158093
5892,75-2158093
5906,75-2158093
2441,75-2158093
6109,84-0449271
6110,84-0449271
6111,84-0449271
6112,84-0449271
6113,84-0449271
6114,84-0449271
6115,84-0449271
6116,84-0449271
6117,84-0449271
6118,84-0449271
6119,84-0449271
6120,84-0449271
6121,84-0449271
6122,84-0449271
6123,84-0449271
6124,84-0449271
6125,84-0449271
6126,84-0449271
6127,84-0449271
6128,84-0449271
6189,52-1289734
6464,55-0307050
6465,55-0307050
6466,55-0307050
6467,55-0307050
6468,55-0307050
6469,55-0307050
4988,55-0307050
6471,55-0307050
6472,55-0307050
6473,55-0307050
6474,55-0307050
6475,55-0307050
6378,55-0307050
6477,55-0307050
6478,55-0307050
6382,55-0307050
6480,55-0307050
6481,55-0307050
6482,55-0307050
4812,55-0307050
6632,58-1943161
6633,58-1943161
6634,58-1943161
6768,77-0099744
6769,77-0099744
6770,77-0099744
6771,77-0099744
6772,77-0099744
6773,77-0099744
6774,77-0099744
6707,77-0099744
6776,77-0099744
6777,77-0099744
7079,36-0725250
7080,36-0725250
7081,36-0725250
7082,36-0725250
7083,36-0725250
7084,36-0725250
7085,36-0725250
7086,36-0725250
7087,36-0725250
7088,36-0725250
7089,36-0725250
7090,36-0725250
7091,36-0725250
7092,36-0725250
7093,36-0725250
7094,36-0725250
7095,36-0725250
7096,36-0725250
7097,36-0725250
7098,36-0725250
7320,13-2911127
7321,13-2911127
7322,13-2911127
7323,13-2911127
7324,13-2911127
7325,13-2911127
7326,13-2911127
7327,13-2911127
7328,13-2911127
7329,13-2911127
7313,13-2911127
7331,13-2911127
7332,13-2911127
7333,13-2911127
7334,13-2911127
7335,13-2911127
7336,13-2911127
7314,13-2911127
7338,13-2911127
7254,13-2911127
7716,59-2811908
7717,59-2811908
7718,59-2811908
7719,59-2811908
7720,59-2811908
7666,59-2811908
7722,59-2811908
7723,59-2811908
7724,59-2811908
7725,59-2811908
7726,59-2811908
7727,59-2811908
7728,59-2811908
7729,59-2811908
7730,59-2811908
7731,59-2811908
7944,93-1045925
7945,93-1045925
7946,93-1045925
7947,93-1045925
7948,93-1045925
7949,93-1045925
7950,93-1045925
7951,93-1045925
8163,74-2524057
8005,74-2524057
8165,74-2524057
8166,74-2524057
8167,74-2524057
8168,74-2524057
8169,74-2524057
8170,74-2524057
8012,74-2524057
8011,74-2524057
8173,74-2524057
8372,54-1429009
8373,54-1429009
8374,54-1429009
8375,54-1429009
8376,54-1429009
8377,54-1429009
8378,54-1429009
8276,54-1429009
8380,54-1429009
8381,54-1429009
7405,54-1645372
8603,54-1645372
8604,54-1645372
8605,54-1645372
9188,11-2741490
9189,11-2741490
9379,52-1928321
9380,52-1928321
9381,52-1928321
9382,52-1928321
1223,52-1928321
9384,52-1928321
9385,52-1928321
9386,52-1928321
9387,52-1928321
9388,52-1928321
9389,52-1928321
9549,51-0189035
9550,51-0189035
9551,51-0189035
9552,51-0189035
9553,51-0189035
9554,51-0189035
9555,51-0189035
