org,year,name,position,normalized_name,first,last,middle
GENETIC LITERACY PROJECT,2019,JON ENTINE,EXECUTIVE DIRECTOR,JON ENTINE,JON,ENTINE,
GENETIC LITERACY PROJECT,2019,GEOFFREY KABAT,DIRECTOR,GEOFFREY KABAT,GEOFFREY,KABAT,
GENETIC LITERACY PROJECT,2019,DREW KERSHEN,DIRECTOR,DREW KERSHEN,DREW,KERSHEN,
GENETIC LITERACY PROJECT,2019,MARYAnn J BOOTE,DIRECTOR,MARYANN J BOOTE,MARYANN,BOOTE,J
GENETIC LITERACY PROJECT,2019,NINA FEDEROFF,DIRECTOR,NINA FEDEROFF,NINA,FEDEROFF,
GENETIC LITERACY PROJECT,2019,BEN LOCWIN,DIRECTOR,BEN LOCWIN,BEN,LOCWIN,
GENETIC LITERACY PROJECT,2019,MATTHEW WINKLER,DIRECTOR,MATTHEW WINKLER,MATTHEW,WINKLER,
GENETIC LITERACY PROJECT,2018,JON ENTINE,EXECUTIVE DIRECTOR,JON ENTINE,JON,ENTINE,
GENETIC LITERACY PROJECT,2018,GEOFFREY KABAT,DIRECTOR,GEOFFREY KABAT,GEOFFREY,KABAT,
GENETIC LITERACY PROJECT,2018,DREW KERSHEN,DIRECTOR,DREW KERSHEN,DREW,KERSHEN,
GENETIC LITERACY PROJECT,2018,MARY J BOOTE,DIRECTOR,MARY J BOOTE,MARY,BOOTE,J
GENETIC LITERACY PROJECT,2018,NINA FEDEROFF,DIRECTOR,NINA FEDEROFF,NINA,FEDEROFF,
GENETIC LITERACY PROJECT,2018,BEN LOCWIN,DIRECTOR,BEN LOCWIN,BEN,LOCWIN,
GENETIC LITERACY PROJECT,2018,MATTHEW WINKLER,DIRECTOR,MATTHEW WINKLER,MATTHEW,WINKLER,
GENETIC LITERACY PROJECT,2017,JON ENTINE,EXECUTIVE DIRECTOR,JON ENTINE,JON,ENTINE,
GENETIC LITERACY PROJECT,2017,GEOFFREY KABAT,DIRECTOR,GEOFFREY KABAT,GEOFFREY,KABAT,
GENETIC LITERACY PROJECT,2017,DREW KERSHEN,DIRECTOR,DREW KERSHEN,DREW,KERSHEN,
GENETIC LITERACY PROJECT,2016,JON ENTINE,EXECUTIVE DIRECTOR,JON ENTINE,JON,ENTINE,
GENETIC LITERACY PROJECT,2016,PAMELA RONALD,DIRECTOR,PAMELA RONALD,PAMELA,RONALD,
GENETIC LITERACY PROJECT,2016,TED NORDHAUS,DIRECTOR,TED NORDHAUS,TED,NORDHAUS,
GENETIC LITERACY PROJECT,2016,GEOFFREY KABAT,DIRECTOR,GEOFFREY KABAT,GEOFFREY,KABAT,
GENETIC LITERACY PROJECT,2016,DREW KERSHEN,DIRECTOR,DREW KERSHEN,DREW,KERSHEN,
GENETIC LITERACY PROJECT,2015,Jon Entine,Director,JON ENTINE,JON,ENTINE,
GENETIC LITERACY PROJECT,2015,Trevor Butterworth,President,TREVOR BUTTERWORTH,TREVOR,BUTTERWORTH,
GENETIC LITERACY PROJECT,2015,Donal L Rieck,Director,DONAL L RIECK,DONAL,RIECK,L
GENETIC LITERACY PROJECT,2015,Dr. S. Robert Lichter,Director,S ROBERT LICHTER,S,LICHTER,ROBERT
GENETIC LITERACY PROJECT,2015,Truman Anderson,Chairman,TRUMAN ANDERSON,TRUMAN,ANDERSON,
GENETIC LITERACY PROJECT,2015,Dodie McCracken,Director,DODIE MCCRACKEN,DODIE,MCCRACKEN,
GENETIC LITERACY PROJECT,2015,Tracey Brown,Director,TRACEY BROWN,TRACEY,BROWN,
GENETIC LITERACY PROJECT,2015,Paul Hardaker,Director,PAUL HARDAKER,PAUL,HARDAKER,
GENETIC LITERACY PROJECT,2014,DONALD L RIECK,Executive Director,DONALD L RIECK,DONALD,RIECK,L
GENETIC LITERACY PROJECT,2014,DR S ROBERT LICHTER,President,S ROBERT LICHTER,S,LICHTER,ROBERT
GENETIC LITERACY PROJECT,2014,TRUMAN ANDERSON,Chairman,TRUMAN ANDERSON,TRUMAN,ANDERSON,
GENETIC LITERACY PROJECT,2014,DODIE MCCRACKEN,Director,DODIE MCCRACKEN,DODIE,MCCRACKEN,
GENETIC LITERACY PROJECT,2014,NELL MINO,Treasurer and Secretary,NELL MINO,NELL,MINO,
GENETIC LITERACY PROJECT,2014,PAUL MONGERSON,Director Emeritus,PAUL MONGERSON,PAUL,MONGERSON,
GENETIC LITERACY PROJECT,2014,DAVID GREEN,Director Emeritus,DAVID GREEN,DAVID,GREEN,
GENETIC LITERACY PROJECT,2014,ROBERT D STUART,Director Emeritus,ROBERT D STUART,ROBERT,STUART,D
GENETIC LITERACY PROJECT,2014,HEATHER C DAHL,Director,HEATHER C DAHL,HEATHER,DAHL,C
GENETIC LITERACY PROJECT,2014,NEWTON MINO,Director Emeritus,NEWTON MINO,NEWTON,MINO,
