GRANTMAKER,RECIPIENT,YEAR,GRANTMAKER_PERSON,RECIPIENT_PERSON,Correct,combo,duplicate
DONORS TRUST & DONORS CAPITAL FUND,FOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENT,2003,JOHN VON KANNON,JOHN A  VON KANNON,True,DONORS TRUST & DONORS CAPITAL FUNDFOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENTJOHN VON KANNONJOHN A  VON KANNON,False
DONORS TRUST & DONORS CAPITAL FUND,HERITAGE FOUNDATION,2003,JOHN VON KANNON,JOHN VON KANNON,True,DONORS TRUST & DONORS CAPITAL FUNDHERITAGE FOUNDATIONJOHN VON KANNONJOHN VON KANNON,False
DONORS TRUST & DONORS CAPITAL FUND,FOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENT,2003,JOHN VON KANNON,JOHN VON KANNON,True,DONORS TRUST & DONORS CAPITAL FUNDFOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENTJOHN VON KANNONJOHN VON KANNON,False
DUNN FOUNDATION THE,PROPERTY AND ENVIRONMENT RESEARCH CENTER,2003,WILLIAM A DUNN,WILLIAM  DUNN,True,DUNN FOUNDATION THEPROPERTY AND ENVIRONMENT RESEARCH CENTERWILLIAM A DUNNWILLIAM  DUNN,False
DUNN FOUNDATION THE,FOUNDATION FOR ECONOMIC EDUCATION,2003,WILLIAM A DUNN,WILLIAM  DUNN,True,DUNN FOUNDATION THEFOUNDATION FOR ECONOMIC EDUCATIONWILLIAM A DUNNWILLIAM  DUNN,False
DUNN FOUNDATION THE,CATO INSTITUTE,2003,WILLIAM A DUNN,WILLIAM  DUNN,True,DUNN FOUNDATION THECATO INSTITUTEWILLIAM A DUNNWILLIAM  DUNN,False
DUNN FOUNDATION THE,COMPETITIVE ENTERPRISE INSTITUTE,2003,WILLIAM A DUNN,WILLIAM  DUNN,True,DUNN FOUNDATION THECOMPETITIVE ENTERPRISE INSTITUTEWILLIAM A DUNNWILLIAM  DUNN,False
DUNN FOUNDATION THE,PROPERTY AND ENVIRONMENT RESEARCH CENTER,2003,WILLIAM A DUNN,WILLIAM A DUNN,True,DUNN FOUNDATION THEPROPERTY AND ENVIRONMENT RESEARCH CENTERWILLIAM A DUNNWILLIAM A DUNN,False
DUNN FOUNDATION THE,JAMES MADISON INSTITUTE,2003,WILLIAM A DUNN,WILLIAM A DUNN,True,DUNN FOUNDATION THEJAMES MADISON INSTITUTEWILLIAM A DUNNWILLIAM A DUNN,False
DUNN FOUNDATION THE,COMPETITIVE ENTERPRISE INSTITUTE,2003,WILLIAM A DUNN,WILLIAM A DUNN,True,DUNN FOUNDATION THECOMPETITIVE ENTERPRISE INSTITUTEWILLIAM A DUNNWILLIAM A DUNN,False
DUNN FOUNDATION THE,REASON FOUNDATION THE,2003,WILLIAM A DUNN,WILLIAM A DUNN,True,DUNN FOUNDATION THEREASON FOUNDATION THEWILLIAM A DUNNWILLIAM A DUNN,False
DONORS TRUST & DONORS CAPITAL FUND,FOUNDATION FOR ECONOMIC EDUCATION,2003,KRIS ALAN MAUREN,KRIS ALAN MAUREN,True,DONORS TRUST & DONORS CAPITAL FUNDFOUNDATION FOR ECONOMIC EDUCATIONKRIS ALAN MAURENKRIS ALAN MAUREN,False
DONORS TRUST & DONORS CAPITAL FUND,PROPERTY AND ENVIRONMENT RESEARCH CENTER,2003,KIMBERLY O DENNIS,KIMBERLY O DENNIS,True,DONORS TRUST & DONORS CAPITAL FUNDPROPERTY AND ENVIRONMENT RESEARCH CENTERKIMBERLY O DENNISKIMBERLY O DENNIS,False
DONORS TRUST & DONORS CAPITAL FUND,INDEPENDENT WOMEN'S FORUM,2003,KIMBERLY O DENNIS,KIMBERLY O DENNIS,True,DONORS TRUST & DONORS CAPITAL FUNDINDEPENDENT WOMEN'S FORUMKIMBERLY O DENNISKIMBERLY O DENNIS,False
SEARLE FREEDOM TRUST,PROPERTY AND ENVIRONMENT RESEARCH CENTER,2003,KIMBERLY O DENNIS,KIMBERLY O DENNIS,True,SEARLE FREEDOM TRUSTPROPERTY AND ENVIRONMENT RESEARCH CENTERKIMBERLY O DENNISKIMBERLY O DENNIS,False
SEARLE FREEDOM TRUST,INDEPENDENT WOMEN'S FORUM,2003,KIMBERLY O DENNIS,KIMBERLY O DENNIS,True,SEARLE FREEDOM TRUSTINDEPENDENT WOMEN'S FORUMKIMBERLY O DENNISKIMBERLY O DENNIS,False
"BRADY EDUCATION FOUNDATION, INC.",PROPERTY AND ENVIRONMENT RESEARCH CENTER,2003,KIMBERLY O DENNIS,KIMBERLY O DENNIS,True,"BRADY EDUCATION FOUNDATION, INC.PROPERTY AND ENVIRONMENT RESEARCH CENTERKIMBERLY O DENNISKIMBERLY O DENNIS",False
"BRADY EDUCATION FOUNDATION, INC.",INDEPENDENT WOMEN'S FORUM,2003,KIMBERLY O DENNIS,KIMBERLY O DENNIS,True,"BRADY EDUCATION FOUNDATION, INC.INDEPENDENT WOMEN'S FORUMKIMBERLY O DENNISKIMBERLY O DENNIS",False
CHARLES KOCH INSTITUTE AND FOUNDATION,MERCATUS CENTER GEORGE MASON UNIVERSITY,2003,RICHARD  FINK,RICHARD H FINK,True,CHARLES KOCH INSTITUTE AND FOUNDATIONMERCATUS CENTER GEORGE MASON UNIVERSITYRICHARD  FINKRICHARD H FINK,False
CHARLES KOCH INSTITUTE AND FOUNDATION,AMERICANS FOR PROSPERITY,2003,RICHARD  FINK,RICHARD H FINK,True,CHARLES KOCH INSTITUTE AND FOUNDATIONAMERICANS FOR PROSPERITYRICHARD  FINKRICHARD H FINK,False
CHARLES KOCH INSTITUTE AND FOUNDATION,MERCATUS CENTER GEORGE MASON UNIVERSITY,2003,CHARLES G KOCH,CHARLES G KOCH,True,CHARLES KOCH INSTITUTE AND FOUNDATIONMERCATUS CENTER GEORGE MASON UNIVERSITYCHARLES G KOCHCHARLES G KOCH,False
CHARLES KOCH INSTITUTE AND FOUNDATION,AMERICANS FOR PROSPERITY,2003,CHARLES G KOCH,CHARLES G KOCH,True,CHARLES KOCH INSTITUTE AND FOUNDATIONAMERICANS FOR PROSPERITYCHARLES G KOCHCHARLES G KOCH,False
J. P. HUMPHREYS FOUNDATION,FOUNDATION FOR ECONOMIC EDUCATION,2003,DAVID C HUMPHREYS,DAVID  HUMPHREYS,True,J. P. HUMPHREYS FOUNDATIONFOUNDATION FOR ECONOMIC EDUCATIONDAVID C HUMPHREYSDAVID  HUMPHREYS,False
J. P. HUMPHREYS FOUNDATION,CATO INSTITUTE,2003,DAVID C HUMPHREYS,DAVID  HUMPHREYS,True,J. P. HUMPHREYS FOUNDATIONCATO INSTITUTEDAVID C HUMPHREYSDAVID  HUMPHREYS,False
J. P. HUMPHREYS FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,2003,DAVID C HUMPHREYS,DAVID  HUMPHREYS,True,J. P. HUMPHREYS FOUNDATIONACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTYDAVID C HUMPHREYSDAVID  HUMPHREYS,False
E. L. CRAIG FOUNDATION,FOUNDATION FOR ECONOMIC EDUCATION,2003,DAVID C HUMPHREYS,DAVID  HUMPHREYS,True,E. L. CRAIG FOUNDATIONFOUNDATION FOR ECONOMIC EDUCATIONDAVID C HUMPHREYSDAVID  HUMPHREYS,False
E. L. CRAIG FOUNDATION,CATO INSTITUTE,2003,DAVID C HUMPHREYS,DAVID  HUMPHREYS,True,E. L. CRAIG FOUNDATIONCATO INSTITUTEDAVID C HUMPHREYSDAVID  HUMPHREYS,False
E. L. CRAIG FOUNDATION,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,2003,DAVID C HUMPHREYS,DAVID  HUMPHREYS,True,E. L. CRAIG FOUNDATIONACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTYDAVID C HUMPHREYSDAVID  HUMPHREYS,False
CHASE FOUNDATION OF VIRGINIA,STATE POLICY NETWORK,2003,DERWOOD S CHASE,DERWOOD S CHASE,True,CHASE FOUNDATION OF VIRGINIASTATE POLICY NETWORKDERWOOD S CHASEDERWOOD S CHASE,False
CHASE FOUNDATION OF VIRGINIA,REASON FOUNDATION THE,2003,DERWOOD S CHASE,DERWOOD S CHASE,True,CHASE FOUNDATION OF VIRGINIAREASON FOUNDATION THEDERWOOD S CHASEDERWOOD S CHASE,False
ROE FOUNDATION The,STATE POLICY NETWORK,2003,CARL O HELSTROM,CARL O HELSTROM,True,ROE FOUNDATION TheSTATE POLICY NETWORKCARL O HELSTROMCARL O HELSTROM,False
LYNDE AND HARRY BRADLEY FOUNDATION,STATE POLICY NETWORK,2003,CARL O HELSTROM,CARL O HELSTROM,True,LYNDE AND HARRY BRADLEY FOUNDATIONSTATE POLICY NETWORKCARL O HELSTROMCARL O HELSTROM,False
WILLIAM H. DONNER FOUNDATION The,ATLAS NETWORK,2003,HON CURTIN WINSOR,HON CURTIN WINSOR,True,WILLIAM H. DONNER FOUNDATION TheATLAS NETWORKHON CURTIN WINSORHON CURTIN WINSOR,False
PIERRE F. AND ENID GOODRICH FOUNDATION,LIBERTY FUND,2003,T ALAN RUSSELL,T ALAN RUSSELL,True,PIERRE F. AND ENID GOODRICH FOUNDATIONLIBERTY FUNDT ALAN RUSSELLT ALAN RUSSELL,False
CHASE FOUNDATION OF VIRGINIA,ATLAS NETWORK,2003,ALEJANDRO A CHAFUEN,ALEJANDRO  CHAFUEN,True,CHASE FOUNDATION OF VIRGINIAATLAS NETWORKALEJANDRO A CHAFUENALEJANDRO  CHAFUEN,False
CHASE FOUNDATION OF VIRGINIA,ACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTY,2003,ALEJANDRO A CHAFUEN,ALEJANDRO  CHAFUEN,True,CHASE FOUNDATION OF VIRGINIAACTON INSTITUTE FOR THE STUDY OF RELIGION AND LIBERTYALEJANDRO A CHAFUENALEJANDRO  CHAFUEN,False
CHASE FOUNDATION OF VIRGINIA,STATE POLICY NETWORK,2003,ALEJANDRO A CHAFUEN,ALEJANDRO A CHAFUEN,True,CHASE FOUNDATION OF VIRGINIASTATE POLICY NETWORKALEJANDRO A CHAFUENALEJANDRO A CHAFUEN,False
