org,year,name,position,normalized_name,first,last,middle
JOHN WILLIAM POPE FOUNDATION,2019,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2019,KIMBERLY OVERTON,ASSISTANT SECRETARY,KIMBERLY OVERTON,KIMBERLY,OVERTON,
JOHN WILLIAM POPE FOUNDATION,2019,DAVID M STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2019,MIKE SMITH,BOARD MEMBER,MIKE SMITH,MIKE,SMITH,
JOHN WILLIAM POPE FOUNDATION,2019,JAMES ARTHUR POPE,CHAIRMAN,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2019,AMANDA J POPE,VICE CHAIRMAN,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2019,JOYCE L POPE,BOARD MEMBER,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2019,EARLE POPE,BOARD MEMBER,EARLE POPE,EARLE,POPE,
JOHN WILLIAM POPE FOUNDATION,2018,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2018,KIMBERLY OVERTON,ASSISTANT SECRETARY,KIMBERLY OVERTON,KIMBERLY,OVERTON,
JOHN WILLIAM POPE FOUNDATION,2018,DAVID M STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2018,JAMES ARTHUR POPE,CHAIRMAN,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2018,AMANDA J POPE,VICE CHAIRMAN,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2018,JOYCE L POPE,BOARD MEMBER,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2017,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2017,JOYCE L POPE,VP/SEC/TREAS,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2017,DAVID M STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2017,JAMES ARTHUR POPE,CHAIRMAN,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2017,AMANDA J POPE,VP/ASST SEC/,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2016,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2016,DAVID M STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2016,JOYCE L POPE,VP/ASST SEC/,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2016,JAMES ARTHUR POPE,CHAIRMAN,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2016,AMANDA J POPE,VP/SEC/TREAS,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2015,JOHN M HOOD,PRESIDENT,JOHN M HOOD,JOHN,HOOD,M
JOHN WILLIAM POPE FOUNDATION,2015,DAVID RIGGS,EVP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2015,JOYCE L. POPE,VP/ASSISTANT SEC,JOYCE L POPE,JOYCE,POPE,L
JOHN WILLIAM POPE FOUNDATION,2015,DAVID M. STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2015,JAMES ARTHUR POPE,PRES/CHAIR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2015,AMANDA J. POPE,VC/SEC/TREASURER,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2014,DAVID M. STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2014,DAVID RIGGS,EVP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2014,JOYCE W. POPE,DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2014,JAMES ARTHUR POPE,PRES/CHAIR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2014,AMANDA J. POPE,VC/SEC/TREASURER,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2013,DAVID RIGGS,EVP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2013,DAVID M. STOVER,BOARD MEMBER,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2013,JOYCE W. POPE,DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2013,JAMES ARTHUR POPE,PRES/CHAIR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2013,AMANDA J. POPE,VC/SEC/TREASURER,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2012,DAVID M. STOVER,DIRECTOR,DAVID M STOVER,DAVID,STOVER,M
JOHN WILLIAM POPE FOUNDATION,2012,JOYCE W. POPE,CHAIRMAN/DIR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2012,JAMES ARTHUR POPE,PRESIDENT/DI,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2012,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2012,DAVID RIGGS,EXECUTIVE VP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2011,JOYCE W. POPE,DIR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2011,JAMES ARTHUR POPE,PRESIDENT/DI Chairman,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2011,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2011,DAVID RIGGS,EXECUTIVE VP,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2010,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2010,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2010,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2010,DAVID STOVER,DIRECTOR,DAVID STOVER,DAVID,STOVER,
JOHN WILLIAM POPE FOUNDATION,2010,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2009,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2009,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2009,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2009,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2009,DAVID STOVER,DIRECTOR,DAVID STOVER,DAVID,STOVER,
JOHN WILLIAM POPE FOUNDATION,2008,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2008,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2008,DAVID STOVER,DIRECTOR,DAVID STOVER,DAVID,STOVER,
JOHN WILLIAM POPE FOUNDATION,2008,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2008,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2007,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2007,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2007,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
JOHN WILLIAM POPE FOUNDATION,2007,AMANDA J. POPE,DIRECTOR,AMANDA J POPE,AMANDA,POPE,J
JOHN WILLIAM POPE FOUNDATION,2006,DAVID RIGGS,EXECUTIVE VP OF OPERATIONS,DAVID RIGGS,DAVID,RIGGS,
JOHN WILLIAM POPE FOUNDATION,2006,JAMES ARTHUR POPE,PRESIDENT/DIRECTOR,JAMES ARTHUR POPE,JAMES,POPE,ARTHUR
JOHN WILLIAM POPE FOUNDATION,2006,JOYCE W. POPE,CHAIRMAN/DIRECTOR,JOYCE W POPE,JOYCE,POPE,W
