"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","china","countri","unit","world","state","europ","european","power","india","war"
"2","march","april","releas","juli","june","januari","septemb","letter","novemb","decemb"
"3","tax","carbon","credit","revenu","propos","rais","incom","increas","fee","rate"
"4","energi","associ","inc","ohio","servic","compani","washington","north","american","state"
"5","carbon","dioxid","atmospher","concentr","plant","increas","air","effect","water","earth"
"6","fuel","vehicl","car","transport","standard","gasolin","engin","use","truck","diesel"
"7","institut","polici","center","research","foundat","public","nation","environment","director","senior"
"8","temperatur","model","warm","climat","data","increas","trend","global","period","observ"
"9","will","need","develop","energi","econom","futur","technolog","world","continu","growth"
"10","per","percent","year","total","million","billion","averag","ton","figur","annual"
"11","program","sustain","communiti","work","organ","goal","includ","develop","promot","initi"
"12","year","warm","global","rise","ice","level","sea","weather","hurrican","predict"
"13","share","inform","can","communic","servic","internet","onlin","comput","video","game"
"14","energi","effici","use","heat","program","home","save","build","consumpt","consum"
"15","univers","school","professor","student","scienc","research","colleg","book","educ","climat"
"16","emiss","reduc","carbon","greenhous","reduct","percent","dioxid","level","ghg","global"
"17","compani","invest","financi","busi","corpor","util","capit","firm","industri","custom"
"18","water","use","light","wast","ban","product","environment","plastic","materi","can"
"19","per","subindex","labor","index","capita","rate","rank","wage","worker","inhabit"
"20","emiss","data","methan","inform","well","use","oper","sourc","studi","ghg"
"21","new","project","citi","york","area","line","counti","plan","local","san"
"22","price","cost","increas","energi","consum","sector","higher","manufactur","industri","will"
"23","presid","obama","administr","trump","hous","congress","white","plan","power","bush"
"24","farm","agricultur","ethanol","farmer","food","product","produc","biofuel","use","fuel"
"25","coal","plant","mine","power","electr","generat","coal-fir","nation","nma","new"
"26","climat","chang","nation","agreement","unit","intern","global","action","kyoto","pari"
"27","energi","wind","renew","fuel","power","solar","electr","fossil","sourc","generat"
"28","gas","natur","industri","lng","export","suppli","aga","pipelin","associ","state"
"29","epa","rule","propos","standard","requir","plan","state","exist","sourc","new"
"30","govern","polici","market","can","free","interest","polit","make","allow","approach"
"31","chang","climat","speci","adapt","crop","popul","food","forest","increas","plant"
"32","regul","epa","environment","air","clean","agenc","pollut","protect","act","regulatori"
"33","committe","member","energi","meet","chairman","confer","will","ipaa","presid","hear"
"34","bill","legisl","senat","pass","cap","trade","congress","hous","vote","cap--trad"
"35","cost","benefit","impact","econom","studi","effect","model","analysi","estim","use"
"36","one","think","like","just","get","know","say","thing","want","dont"
"37","process","hydrogen","carbon","product","use","cell","dioxid","produc","materi","method"
"38","state","california","law","court","case","constitut","governor","power","feder","legal"
"39","media","news","gore","stori","post","time","warm","global","show","new"
"40","technolog","captur","storag","plant","project","advanc","research","ccs","generat","power"
"41","oil","energi","product","produc","domest","suppli","drill","america","petroleum","shale"
"42","group","climat","general","activist","public","email","attorney","investig","record","fund"
"43","nuclear","pipelin","power","canada","plant","construct","keyston","canadian","reactor","build"
"44","job","green","billion","will","million","year","new","govern","money","spend"
"45","feder","depart","energi","program","land","fund","agenc","nation","act","develop"
"46","electr","power","generat","util","grid","system","reliabl","demand","transmiss","market"
"47","climat","warm","global","chang","scienc","scientist","scientif","claim","human","evid"
"48","democrat","american","issu","support","republican","elect","conserv","parti","voter","polit"
"49","peopl","live","health","human","care","life","poor","world","poverti","caus"
"50","report","number","note","question","offer","begin","detail","answer","present","regard"
